conjunto,sistema,n,acierto,extractiva,numérica,comparativa,cita,cifra,trayectoria,fundamentada,recall@5,coste medio ($),latencia (s),llamadas/preg,guardrail,errores
oficial,baseline,20,0.8,0.8333333333333334,1.0,0.5714285714285714,0.9230769230769232,1.0,1.0,0.6923076923076923,0.3076923076923077,0.00725335,16.583890170000814,2.75,0,0
oficial,filtros,20,0.75,0.8333333333333334,1.0,0.4285714285714285,0.9230769230769232,1.0,1.0,0.6153846153846154,0.3076923076923077,0.007231575,17.140929004998906,2.75,0,0
oficial,final,20,0.8,1.0,1.0,0.42857142857142855,1.0,1.0,1.0,0.6923076923076923,0.5384615384615384,0.007151050000000001,23.005970774999877,2.45,0,0
propio,baseline,20,0.6666666666666666,0.7142857142857143,1.0,0.0,0.8181818181818182,0.9090909090909092,1.0,0.4545454545454545,0.2307692307692307,0.0097140749999999,20.31982949000157,3.0,0,2
propio,filtros,20,0.75,1.0,1.0,0.1666666666666666,1.0,0.9230769230769232,1.0,0.6923076923076923,0.2307692307692307,0.0068678249999999,17.878660940000554,2.65,0,0
propio,final,20,0.7,0.7142857142857143,1.0,0.3333333333333333,0.9230769230769231,1.0,1.0,0.5384615384615384,0.6153846153846154,0.00780145,22.78268605000485,2.65,1,0
